ticker,cik,name,10K_files,10Q_files,k_count,q_count,total
LB,701985,.,"['0000701985-12-000021', '0000701985-13-000012', '0000701985-14-000013', '0000701985-15-000006', '0000701985-16-000051', '0000701985-17-000022', '0000701985-18-000018', '0000701985-19-000015', '0000701985-20-000010', '0000701985-21-000011', '0001136999-06-000405', '0001136999-06-000409', '0001136999-06-000413', '0001136999-07-000535', '0001136999-07-000538', '0001136999-07-000543', '0001136999-07-000545', '0001136999-07-000547', '0001136999-08-000368', '0001136999-08-000369', '0001136999-08-000371', '0001136999-08-000375', '0001136999-08-000386', '0001136999-09-000087', '0001193125-06-070723', '0001193125-07-073368', '0001193125-08-069148', '0001193125-09-066128', '0001193125-10-068571', '0001193125-11-071220']","['0000701985-12-000027', '0000701985-12-000035', '0000701985-12-000042', '0000701985-13-000023', '0000701985-13-000032', '0000701985-13-000043', '0000701985-14-000023', '0000701985-14-000038', '0000701985-14-000045', '0000701985-15-000014', '0000701985-15-000030', '0000701985-15-000045', '0000701985-16-000069', '0000701985-16-000083', '0000701985-16-000101', '0000701985-17-000034', '0000701985-17-000052', '0000701985-17-000067', '0000701985-18-000033', '0000701985-18-000045', '0000701985-18-000061', '0000701985-19-000028', '0000701985-19-000039', '0000701985-19-000049', '0000701985-20-000020', '0000701985-20-000036', '0000701985-20-000050', '0000701985-21-000020', '0000701985-21-000030', '0000927016-03-002907', '0000950109-01-501794', '0001021408-01-506863', '0001021408-01-511408', '0001021408-02-008471', '0001021408-02-011869', '0001021408-02-015230', '0001193125-03-048966', '0001193125-03-094376', '0001193125-04-100920', '0001193125-04-154227', '0001193125-04-209530', '0001193125-05-122558', '0001193125-05-181873', '0001193125-05-238121', '0001193125-06-123626', '0001193125-06-184064', '0001193125-06-245346', '0001193125-07-132599', '0001193125-07-198279', '0001193125-07-261404', '0001193125-08-129244', '0001193125-08-191095', '0001193125-08-248807', '0001193125-09-126165', '0001193125-09-187824', '0001193125-09-247593', '0001193125-10-132137', '0001193125-10-205694', '0001193125-10-273759', '0001193125-11-158436', '0001193125-11-237936', '0001445305-11-003514']",30,62,92
LUMN,18926,.,"['0000018926-02-000003', '0000018926-03-000005', '0000018926-04-000018', '0000018926-05-000025', '0000018926-06-000018', '0000018926-08-000004', '0000018926-09-000008', '0000018926-10-000004', '0000018926-11-000006', '0000018926-15-000008', '0000018926-16-000047', '0000018926-17-000013', '0000018926-18-000012', '0000018926-19-000006', '0000018926-20-000009', '0000018926-21-000017', '0001047469-12-001666', '0001047469-13-002037', '0001140361-07-004700', '0001445305-14-000656']","['0000018926-01-500005', '0000018926-01-500017', '0000018926-01-500023', '0000018926-02-000009', '0000018926-02-000020', '0000018926-02-000028', '0000018926-03-000036', '0000018926-03-000052', '0000018926-03-000069', '0000018926-04-000024', '0000018926-04-000040', '0000018926-04-000056', '0000018926-05-000038', '0000018926-05-000074', '0000018926-05-000092', '0000018926-06-000038', '0000018926-07-000006', '0000018926-07-000014', '0000018926-07-000019', '0000018926-08-000011', '0000018926-08-000020', '0000018926-08-000022', '0000018926-09-000011', '0000018926-09-000032', '0000018926-09-000043', '0000018926-10-000013', '0000018926-10-000023', '0000018926-10-000031', '0000018926-11-000021', '0000018926-14-000011', '0000018926-14-000019', '0000018926-15-000017', '0000018926-15-000025', '0000018926-15-000041', '0000018926-16-000055', '0000018926-16-000062', '0000018926-16-000070', '0000018926-17-000023', '0000018926-17-000055', '0000018926-17-000074', '0000018926-18-000020', '0000018926-18-000023', '0000018926-18-000029', '0000018926-19-000012', '0000018926-19-000018', '0000018926-19-000022', '0000018926-20-000016', '0000018926-20-000022', '0000018926-20-000028', '0000018926-21-000028', '0000018926-21-000041', '0000018926-21-000049', '0001047469-11-007154', '0001047469-11-009154', '0001047469-12-005754', '0001047469-12-008037', '0001047469-12-010265', '0001047469-13-005870', '0001047469-13-008255', '0001140361-06-015701', '0001445305-13-002854', '0001445305-14-002030']",20,62,82
MDT,64670,.,"['0000064670-13-000006', '0000064670-14-000010', '0000897101-01-500449', '0000897101-05-001490', '0000897101-06-001326', '0000897101-07-001326', '0000897101-08-001392', '0000897101-09-001266', '0000897101-10-001328', '0000897101-11-001132', '0000897101-12-001054', '0000912057-02-027975', '0001047469-03-024039', '0001047469-04-022170']","['0000064670-13-000003', '0000064670-13-000012', '0000064670-13-000024', '0000064670-14-000005', '0000064670-14-000018', '0000064670-14-000029', '0000064670-15-000005', '0000897101-01-500007', '0000897101-01-500810', '0000897101-02-000154', '0000897101-05-001958', '0000897101-05-002582', '0000897101-06-000543', '0000897101-06-001907', '0000897101-06-002501', '0000897101-07-000532', '0000897101-07-001892', '0000897101-07-002582', '0000897101-08-000478', '0000897101-08-001858', '0000897101-08-002439', '0000897101-09-000422', '0000897101-09-001825', '0000897101-09-002528', '0000897101-10-000491', '0000897101-10-001794', '0000897101-10-002408', '0000897101-11-000375', '0000897101-11-001555', '0000897101-11-002069', '0000897101-12-000400', '0000897101-12-001524', '0000897101-12-002104', '0000912057-01-531887', '0001104659-02-004455', '0001104659-02-006949', '0001104659-03-003813', '0001104659-03-020141', '0001104659-03-027937', '0001104659-04-006585', '0001104659-04-026723', '0001104659-04-038798', '0001104659-05-009815']",14,43,57
NWS,0001308161,NewsCorp,"['0001193125-05-179099', '0001193125-06-178355', '0001193125-07-187791', '0001193125-08-175187', '0001193125-09-172310', '0001193125-10-181329', '0001193125-11-221637', '0001193125-12-355856', '0001193125-13-338522', '0001564590-14-003642', '0001564590-15-007133', '0001564590-16-023961', '0001564590-17-017693', '0001564590-18-021493']","['0000950123-14-001222', '0000950123-18-004511', '0001193125-05-019927', '0001193125-05-097634', '0001193125-05-223253', '0001193125-06-024076', '0001193125-06-107898', '0001193125-06-228618', '0001193125-07-022629', '0001193125-07-108335', '0001193125-07-238696', '0001193125-08-021537', '0001193125-08-106177', '0001193125-08-226120', '0001193125-09-020197', '0001193125-09-101873', '0001193125-09-224062', '0001193125-10-020962', '0001193125-10-106827', '0001193125-10-246428', '0001193125-11-022139', '0001193125-11-126530', '0001193125-11-295489', '0001193125-12-047031', '0001193125-12-222598', '0001193125-12-460872', '0001193125-13-041558', '0001193125-13-214119', '0001193125-13-430281', '0001564590-14-001955', '0001564590-14-005307', '0001564590-15-000522', '0001564590-15-003463', '0001564590-15-009398', '0001564590-16-012471', '0001564590-16-017720', '0001564590-16-027051', '0001564590-17-001210', '0001564590-17-010311', '0001564590-17-022900', '0001564590-18-001566', '0001564590-18-028084', '0001564590-19-002155']",14,43,57
NXPI,0001193125,.,[],[],0,0,0
STE,1624899,1,"['0001624899-16-000005', '0001624899-17-000006', '0001624899-18-000003']","['0001624899-16-000004', '0001624899-16-000012', '0001624899-16-000015', '0001624899-17-000003', '0001624899-17-000009', '0001624899-17-000010', '0001624899-18-000002', '0001624899-18-000006', '0001624899-18-000009', '0001628280-19-001177']",3,10,13
STE,815065,2,"['0000815065-12-000006', '0000815065-13-000006', '0000815065-14-000004', '0000815065-15-000004', '0000950109-02-003429', '0000950130-03-003961', '0000950130-10-000911', '0001193125-04-102730', '0001193125-05-125285', '0001193125-06-128380', '0001193125-07-124946', '0001193125-08-125772', '0001193125-09-120940', '0001445305-11-001008']","['0000815065-11-000011', '0000815065-12-000004', '0000815065-12-000016', '0000815065-12-000021', '0000815065-13-000003', '0000815065-13-000012', '0000815065-13-000014', '0000815065-14-000002', '0000815065-14-000008', '0000815065-14-000012', '0000815065-15-000008', '0000815065-15-000009', '0000950109-01-504805', '0000950109-02-004109', '0000950131-03-000569', '0001021408-01-504754', '0001021408-02-001616', '0001021408-02-013716', '0001193125-03-035683', '0001193125-03-077446', '0001193125-04-019463', '0001193125-04-135211', '0001193125-04-187852', '0001193125-05-022163', '0001193125-05-162064', '0001193125-05-220833', '0001193125-06-021929', '0001193125-06-165791', '0001193125-06-226478', '0001193125-07-022541', '0001193125-07-173779', '0001193125-07-240044', '0001193125-08-023788', '0001193125-08-171665', '0001193125-08-231986', '0001193125-09-021159', '0001193125-09-168851', '0001193125-09-221423', '0001193125-10-025781', '0001193125-10-183374', '0001193125-10-253075', '0001445305-11-000201', '0001628280-15-000532']",14,43,57
VIAC,0000813828,CBS Corp,"['0000813828-15-000009', '0000813828-16-000065', '0000813828-17-000005', '0000813828-18-000018', '0000813828-19-000006', '0000813828-20-000013', '0000813828-21-000005', '0000950130-01-500372', '0001047469-03-010441', '0001047469-04-007840', '0001047469-05-006777', '0001047469-06-003576', '0001047469-07-001525', '0001047469-08-001936', '0001047469-09-001824', '0001047469-10-001402', '0001047469-11-001419', '0001047469-13-001192', '0001047469-14-000934']","['0000813828-14-000018', '0000813828-15-000018', '0000813828-15-000045', '0000813828-15-000053', '0000813828-16-000075', '0000813828-16-000088', '0000813828-16-000106', '0000813828-17-000013', '0000813828-17-000031', '0000813828-17-000048', '0000813828-18-000026', '0000813828-18-000036', '0000813828-18-000044', '0000813828-19-000014', '0000813828-19-000025', '0000813828-19-000033', '0000813828-20-000022', '0000813828-20-000040', '0000813828-20-000051', '0000813828-21-000009', '0000813828-21-000026', '0000813828-21-000040', '0000912057-02-020123', '0000912057-02-031808', '0000912057-02-042460', '0000950130-01-501623', '0000950130-01-503902', '0000950130-01-505390', '0001047469-03-018924', '0001047469-03-027487', '0001047469-03-036369', '0001047469-04-016480', '0001047469-04-025702', '0001047469-05-014195', '0001047469-05-020885', '0001047469-05-026375', '0001047469-06-006662', '0001047469-06-010520', '0001047469-06-013595', '0001047469-07-003701', '0001047469-07-006035', '0001047469-07-008435', '0001047469-08-005755', '0001047469-08-008646', '0001047469-08-011595', '0001047469-09-005171', '0001047469-09-007300', '0001047469-09-009610', '0001047469-10-004823', '0001047469-10-006913', '0001047469-10-009233', '0001047469-11-004480', '0001047469-11-006845', '0001047469-11-008999', '0001047469-12-005106', '0001047469-12-007699', '0001047469-13-005254', '0001047469-13-007929', '0001047469-13-010325', '0001047469-14-006759']",19,60,79
VIAC,0001339947,Viacom Inc,"['0001047469-06-003584', '0001193125-07-043859', '0001193125-08-042040', '0001193125-09-026502', '0001193125-10-028165', '0001193125-10-257767', '0001193125-12-471870', '0001193125-13-441356', '0001339947-14-000050', '0001339947-15-000042', '0001339947-16-000110', '0001339947-17-000049', '0001339947-18-000046', '0001339947-19-000043']","['0001047469-06-007083', '0001047469-06-010662', '0001047469-06-013823', '0001193125-07-109811', '0001193125-07-169232', '0001193125-07-233589', '0001193125-08-100381', '0001193125-08-160288', '0001193125-08-223066', '0001193125-09-093372', '0001193125-09-156564', '0001193125-09-221448', '0001193125-10-098207', '0001193125-10-178455', '0001193125-11-022662', '0001193125-11-113734', '0001193125-11-211521', '0001193125-12-035760', '0001193125-12-206921', '0001193125-12-333732', '0001193125-13-031360', '0001339947-14-000016', '0001339947-14-000033', '0001339947-14-000042', '0001339947-15-000009', '0001339947-15-000024', '0001339947-15-000034', '0001339947-16-000055', '0001339947-16-000070', '0001339947-16-000099', '0001339947-17-000009', '0001339947-17-000025', '0001339947-17-000038', '0001339947-18-000009', '0001339947-18-000020', '0001339947-18-000033', '0001339947-19-000013', '0001339947-19-000027', '0001339947-19-000031']",14,39,53
WBA,0000104207,Walgreens Co,"['0000104207-00-500009', '0000104207-01-500009', '0000104207-02-000006', '0000104207-03-000011', '0000104207-04-000011', '0000104207-05-000018', '0000104207-07-000036', '0000104207-08-000093', '0000104207-09-000124', '0000104207-10-000098', '0000104207-11-000102', '0000104207-12-000098', '0000104207-13-000104', '0000104207-14-000104', '0001140361-06-015618']","['0000104207-00-500004', '0000104207-01-500003', '0000104207-01-500006', '0000104207-01-500008', '0000104207-02-000001', '0000104207-02-000002', '0000104207-02-000004', '0000104207-03-000001', '0000104207-03-000002', '0000104207-03-000005', '0000104207-04-000003', '0000104207-04-000006', '0000104207-04-000008', '0000104207-05-000002', '0000104207-05-000011', '0000104207-05-000014', '0000104207-06-000002', '0000104207-06-000010', '0000104207-06-000025', '0000104207-07-000006', '0000104207-07-000012', '0000104207-07-000024', '0000104207-07-000039', '0000104207-08-000009', '0000104207-08-000016', '0000104207-09-000003', '0000104207-09-000040', '0000104207-09-000063', '0000104207-10-000005', '0000104207-10-000039', '0000104207-10-000059', '0000104207-11-000005', '0000104207-11-000022', '0000104207-11-000046', '0000104207-11-000119', '0000104207-12-000021', '0000104207-12-000040', '0000104207-12-000129', '0000104207-13-000031', '0000104207-13-000051', '0000104207-13-000141', '0000104207-14-000027', '0000104207-14-000050', '0001140361-14-046621']",15,44,59
