ticker,cik,name,exchange,10K_files,10Q_files,k_count,q_count,total,GICS Sector,GICS Sub-Industry,Date first added,Founded
V,1403161,VISA INC.,NYSE,"['0001104659-21-086267', '0000103379-21-000006', '0001654954-21-004298', '0001104659-21-044134', '0001213900-21-018424', '0001829126-21-001782', '0001104659-21-041527', '0001104659-21-037483', '0001214659-21-002593', '0001213900-21-012572', '0001564590-21-009507', '0001574291-21-000007', '0001564590-21-004561', '0001403161-20-000070', '0001104659-20-074983', '0000103379-20-000006', '0001654954-20-004116', '0001574291-20-000008', '0001104659-20-040370', '0001580988-20-000016', '0001267426-20-000002', '0001214659-20-002131', '0001564590-20-004075', '0001403161-19-000050', '0001144204-19-031616', '0000103379-19-000006', '0001213900-19-006474', '0001144204-19-017440', '0001654954-19-003881', '0001493152-19-004117']","['0001410578-21-000083', '0001213900-21-058175', '0001410578-21-000076', '0001214659-21-011273', '0001574291-21-000021', '0000103379-21-000017', '0000950170-21-002488', '0001193125-21-282400', '0001654954-21-009647', '0001140361-21-029593', '0001213900-21-042944', '0001104659-21-105425', '0001213900-21-042504', '0001213900-21-042501', '0001829126-21-007952', '0001104659-21-103942', '0001104659-21-103936', '0001214659-21-008268', '0001574291-21-000017', '0000103379-21-000014', '0001564590-21-039823', '0000950170-21-000619', '0001403161-21-000042', '0001213900-21-038806', '0001213900-21-029695', '0001564590-21-029548', '0001654954-21-006224', '0001104659-21-071344', '0001104659-21-070841', '0001213900-21-027205', '0001213900-21-026974', '0001140361-21-017721', '0001104659-21-065963', '0001829126-21-003843', '0001214659-21-005121', '0001574291-21-000012', '0001403161-21-000029', '0001564590-21-020175', '0001104659-21-021714', '0000103379-21-000003', '0001403161-21-000012', '0001104659-20-128076', '0001654954-20-012488', '0001580988-20-000093', '0001267425-20-000007', '0001104659-20-124377', '0001267425-20-000005', '0001214659-20-009247', '0001564590-20-051979', '0001574291-20-000026', '0000103379-20-000018', '0001564590-20-047286', '0001580988-20-000053', '0001654954-20-009148', '0001104659-20-094692', '0001104659-20-093730', '0001104659-20-093723', '0001214659-20-006908', '0000103379-20-000013', '0001574291-20-000020', '0001403161-20-000048', '0001564590-20-033299', '0001104659-20-062264', '0001654954-20-005681', '0001580988-20-000029', '0001214659-20-004471', '0001267426-20-000004', '0001574291-20-000013', '0001403161-20-000028', '0001564590-20-018302', '0001267425-20-000002', '0000103379-20-000003', '0001403161-20-000012', '0001654954-19-012828', '0001267425-19-000005', '0001267426-19-000008', '0001580988-19-000077', '0001104659-19-061159', '0001214659-19-006897', '0001574291-19-000026', '0000103379-19-000014', '0001564590-19-037774', '0001654954-19-009611', '0001144204-19-040023', '0001267426-19-000007', '0001267425-19-000004', '0001580988-19-000051', '0000103379-19-000010', '0001214659-19-005022', '0001574291-19-000020', '0001564590-19-026214', '0001403161-19-000030', '0001144204-19-026482', '0001654954-19-006125', '0001493152-19-007361', '0001580988-19-000028', '0001214659-19-003365', '0001267426-19-000005', '0001574291-19-000014', '0001564590-19-013150']",30,100,130,Information Technology,Data Processing & Outsourced Services,12/21/2009,1958.0
MA,1141391,Mastercard Inc,NYSE,"['0001018399-21-000021', '0001053507-21-000026', '0001564590-21-006373', '0001558370-21-001073', '0001141391-21-000018', '0000875320-21-000006', '0000876167-21-000030', '0000356037-20-000023', '0001018399-20-000019', '0001053507-20-000028', '0001104659-20-022309', '0001141391-20-000032', '0000875320-20-000007', '0001558370-20-000679', '0000876167-20-000027', '0000356037-19-000049', '0001018399-19-000012', '0001053507-19-000012', '0001144204-19-008788', '0001141391-19-000013', '0000875320-19-000006', '0001558370-19-000594', '0000876167-19-000026', '0000356037-18-000042', '0001018399-18-000016', '0001053507-18-000006', '0001144204-18-011461', '0000875320-18-000009', '0001141391-18-000009', '0001558370-18-000638']","['0001018399-21-000086', '0001558370-21-015050', '0000875320-21-000033', '0001141391-21-000182', '0001053507-21-000159', '0001564590-21-052320', '0000876167-21-000152', '0000356037-21-000015', '0001018399-21-000070', '0001558370-21-010003', '0000875320-21-000027', '0001053507-21-000129', '0001141391-21-000156', '0001564590-21-038614', '0000876167-21-000121', '0000356037-21-000010', '0001018399-21-000051', '0001558370-21-005724', '0000875320-21-000015', '0001141391-21-000091', '0001053507-21-000085', '0001564590-21-021322', '0000876167-21-000073', '0000356037-21-000004', '0001018399-20-000117', '0001558370-20-012432', '0001104659-20-119768', '0000875320-20-000043', '0001053507-20-000161', '0001141391-20-000203', '0000876167-20-000155', '0000356037-20-000019', '0001018399-20-000058', '0001558370-20-009185', '0000875320-20-000030', '0001104659-20-089156', '0001141391-20-000165', '0001053507-20-000129', '0000876167-20-000118', '0000356037-20-000014', '0001018399-20-000040', '0000875320-20-000019', '0001104659-20-055065', '0001558370-20-004810', '0001141391-20-000091', '0001053507-20-000093', '0000876167-20-000080', '0000356037-20-000004', '0001018399-19-000062', '0001104659-19-058759', '0001053507-19-000134', '0000875320-19-000057', '0001558370-19-009353', '0001141391-19-000150', '0000876167-19-000136', '0000356037-19-000041', '0001018399-19-000048', '0001144204-19-037346', '0000875320-19-000037', '0001053507-19-000105', '0001141391-19-000128', '0001558370-19-006562', '0000876167-19-000102', '0000356037-19-000024', '0001018399-19-000031', '0001144204-19-023447', '0001053507-19-000073', '0000875320-19-000019', '0001141391-19-000076', '0001558370-19-003626', '0000876167-19-000063', '0000356037-19-000013', '0001018399-18-000055', '0001053507-18-000049', '0001558370-18-008069', '0001141391-18-000127', '0001144204-18-055462', '0000875320-18-000029', '0000876167-18-000119', '0000356037-18-000033', '0001018399-18-000042', '0001053507-18-000038', '0001558370-18-005992', '0001144204-18-040369', '0001141391-18-000111', '0000875320-18-000022', '0000876167-18-000073', '0000356037-18-000020', '0001018399-18-000032', '0001141391-18-000056', '0001053507-18-000026', '0001558370-18-003656', '0001144204-18-022918', '0000875320-18-000014', '0000876167-18-000027', '0000356037-18-000010', '0001018399-17-000079', '0001141391-17-000152', '0001053507-17-000056', '0001558370-17-007833']",30,100,130,Information Technology,Data Processing & Outsourced Services,7/18/2008,1966.0
ADBE,796343,ADOBE INC.,Nasdaq,"['0000796343-21-000004', '0000796343-20-000013', '0000796343-19-000019', '0000796343-18-000015', '0000796343-17-000031', '0000796343-16-000224', '0000796343-15-000022', '0000796343-14-000004', '0000796343-13-000008', '0000796343-12-000003', '0000796343-11-000003', '0000796343-10-000003', '0000796343-09-000007', '0001047469-08-000497', '0001104659-07-007286', '0001047469-06-001601', '0001047469-05-002143', '0001047469-04-003345', '0001174947-03-000004', '0000912057-02-007164', '0000912057-01-006700']","['0000796343-21-000210', '0000796343-21-000159', '0000796343-21-000069', '0000796343-20-000201', '0000796343-20-000143', '0000796343-20-000064', '0000796343-19-000165', '0000796343-19-000142', '0000796343-19-000079', '0000796343-18-000160', '0000796343-18-000134', '0000796343-18-000065', '0000796343-17-000157', '0000796343-17-000130', '0000796343-17-000088', '0000796343-16-000395', '0000796343-16-000352', '0000796343-16-000290', '0000796343-15-000188', '0000796343-15-000151', '0000796343-15-000084', '0000796343-14-000092', '0000796343-14-000046', '0000796343-14-000023', '0000796343-13-000058', '0000796343-13-000044', '0000796343-13-000033', '0000796343-12-000029', '0000796343-12-000022', '0000796343-12-000013', '0000796343-11-000015', '0000796343-11-000010', '0000796343-11-000006', '0000796343-10-000014', '0000796343-10-000011', '0000796343-10-000007', '0000796343-09-000032', '0000796343-09-000026', '0000796343-09-000021', '0000796343-08-000007', '0000796343-08-000005', '0001047469-08-004108', '0001104659-07-072546', '0001104659-07-053043', '0001104659-07-027003', '0001104659-06-066129', '0001104659-06-046450', '0001104659-06-024558', '0001104659-05-047297', '0001047469-05-019021', '0001047469-05-009915', '0001047469-04-030652', '0001047469-04-022731', '0001047469-04-011207', '0001047469-03-033124', '0001047469-03-023595', '0001047469-03-013090', '0000912057-02-038573', '0000912057-02-027257', '0000912057-02-014581', '0000912057-01-535053', '0000912057-01-523851', '0000912057-01-508694', '0001092388-00-500084', '0000912057-00-032138']",21,65,86,Information Technology,Application Software,5/5/1997,1982.0
CRM,1108524,"SALESFORCE.COM, INC.",NYSE,"['0001108524-21-000014', '0001108524-20-000014', '0001108524-19-000009', '0001108524-18-000011', '0001108524-17-000006', '0001108524-16-000053', '0001108524-15-000008', '0001193125-14-084762', '0001193125-12-107281', '0001193125-11-075314', '0001437749-10-000747', '0001193125-10-053838', '0000950123-09-004985', '0001193125-09-048665', '0000950123-08-002705', '0001193125-08-043828', '0000950123-07-003521', '0001193125-07-051045', '0000950123-06-003873', '0001193125-06-055150', '0001193125-05-061027']","['0001108524-21-000047', '0001108524-21-000030', '0001108524-20-000047', '0001108524-20-000041', '0001108524-20-000029', '0001108524-19-000076', '0001108524-19-000052', '0001108524-19-000025', '0001108524-18-000087', '0001108524-18-000057', '0001108524-18-000035', '0001108524-17-000040', '0001108524-17-000020', '0001108524-17-000012', '0001108524-16-000128', '0001108524-16-000085', '0001108524-16-000066', '0001108524-15-000034', '0001108524-15-000025', '0001108524-15-000014', '0001108524-14-000023', '0001108524-14-000009', '0001445305-14-002370', '0001193125-13-453124', '0001193125-13-354101', '0001193125-13-235664', '0001193125-12-483959', '0001193125-12-377656', '0001193125-12-249119', '0001193125-11-324675', '0001193125-11-241110', '0001193125-11-151778', '0001193125-10-207193', '0000950130-10-001306', '0001437749-10-001418', '0001193125-09-242413', '0000950123-09-061705', '0001193125-09-180950', '0000950123-09-033444', '0001193125-09-119430', '0001362310-09-007142', '0001193125-08-243442', '0001362310-08-006868', '0001193125-08-183002', '0001362310-08-004281', '0001193125-08-121851', '0001362310-08-002677', '0001193125-07-250417', '0001362310-07-002816', '0001193125-07-185336', '0001362310-07-001665', '0001193125-07-118825', '0001362310-07-000659', '0001193125-06-238445', '0000950123-06-013801', '0001193125-06-176211', '0000950123-06-010099', '0001193125-06-116421', '0000950123-06-006285', '0001193125-05-229314', '0001193125-05-171607', '0001193125-05-111788', '0001193125-04-201626', '0001193125-04-146497']",21,64,85,Information Technology,Application Software,9/15/2008,1999.0
ORCL,1341439,ORACLE CORP,NYSE,"['0001564590-21-033616', '0001564590-20-030125', '0001564590-19-023119', '0001193125-18-201034', '0001193125-17-214833', '0001193125-16-628942', '0001193125-15-235239', '0001193125-14-251351', '0001193125-13-272832', '0001193125-12-284007', '0001193125-11-174819', '0001193125-10-151896', '0000950123-09-018689', '0000950134-08-012257', '0000950134-07-014478', '0001193125-06-151154']","['0001564590-21-047772', '0001564590-21-012539', '0001564590-20-056896', '0001564590-20-043448', '0001564590-20-010833', '0001564590-19-045966', '0001564590-19-034717', '0001564590-19-008273', '0001564590-18-031113', '0001564590-18-023315', '0001193125-18-090646', '0001193125-17-372232', '0001193125-17-287455', '0001193125-17-087309', '0001193125-16-797253', '0001193125-16-713596', '0001193125-16-510333', '0001193125-15-407703', '0001193125-15-323532', '0001193125-15-098586', '0001193125-14-448728', '0001193125-14-350291', '0001193125-14-108126', '0001193125-13-481081', '0001193125-13-373455', '0001193125-13-122271', '0001193125-12-513009', '0001193125-12-401697', '0001193125-12-129918', '0001193125-11-351954', '0001193125-11-255436', '0001193125-11-081178', '0001193125-10-285703', '0001193125-10-213084', '0001193125-10-070192', '0001193125-09-257212', '0001193125-09-195193', '0000950134-09-005859', '0000950134-08-022578', '0000950134-08-016926', '0000891618-08-000197', '0000891618-07-000697', '0000950134-07-020490', '0001193125-07-065645', '0001193125-06-258170', '0001193125-06-196503', '0001193125-06-076643']",16,47,63,Information Technology,Application Software,8/31/1989,1977.0
PYPL,1633917,"PayPal Holdings, Inc.",Nasdaq,"['0001633917-21-000018', '0001633917-20-000028', '0001633917-19-000043', '0001633917-18-000029', '0001633917-17-000027', '0001633917-16-000113']","['0001633917-21-000169', '0001633917-21-000149', '0001633917-21-000100', '0001633917-20-000169', '0001633917-20-000134', '0001633917-20-000093', '0001633917-19-000210', '0001633917-19-000180', '0001633917-19-000118', '0001633917-18-000203', '0001633917-18-000171', '0001633917-18-000096', '0001633917-17-000171', '0001633917-17-000136', '0001633917-17-000075', '0001633917-16-000243', '0001633917-16-000203', '0001633917-16-000161', '0001633917-15-000052', '0001633917-15-000008']",6,20,26,Information Technology,Data Processing & Outsourced Services,7/20/2015,1998.0
AVGO,1730168,Broadcom Inc.,Nasdaq,"['0001730168-20-000226', '0001730168-19-000144', '0001730168-18-000084']","['0001730168-21-000123', '0001730168-21-000116', '0001730168-21-000045', '0001730168-20-000164', '0001730168-20-000109', '0001730168-20-000045', '0001730168-19-000118', '0001730168-19-000101', '0001730168-19-000036', '0001730168-18-000039', '0001730168-18-000019']",3,11,14,Information Technology,Semiconductors,5/8/2014,1961.0
INTC,50863,INTEL CORP,Nasdaq,"['0000050863-21-000010', '0000050863-20-000011', '0000050863-19-000007', '0000050863-18-000007', '0000050863-17-000012', '0000050863-16-000105', '0000050863-15-000015', '0000050863-14-000020', '0001193125-13-065416', '0001193125-12-075534', '0000950123-11-015783', '0000950123-10-015237', '0000891618-09-000047', '0000891618-08-000106', '0000891618-07-000111', '0000891618-06-000089', '0001193125-05-033162', '0001193125-04-027430', '0001047469-03-008257', '0000912057-02-009698', '0000912057-01-503434']","['0000050863-21-000038', '0000050863-21-000030', '0000050863-21-000018', '0000050863-20-000043', '0000050863-20-000026', '0000050863-20-000017', '0000050863-19-000029', '0000050863-19-000023', '0000050863-19-000013', '0000050863-18-000029', '0000050863-18-000022', '0000050863-18-000013', '0000050863-17-000048', '0000050863-17-000041', '0000050863-17-000029', '0000050863-16-000153', '0000050863-16-000142', '0000050863-16-000125', '0000050863-15-000072', '0000050863-15-000055', '0000050863-15-000028', '0000050863-14-000069', '0000050863-14-000058', '0000050863-14-000032', '0000050863-13-000104', '0000050863-13-000087', '0000050863-13-000043', '0001193125-12-444095', '0001193125-12-329132', '0001193125-12-212253', '0001193125-11-297669', '0000950123-11-074495', '0000950123-11-047498', '0000950123-10-099521', '0000950123-10-070570', '0000950123-10-042822', '0000950123-09-056321', '0000950123-09-028975', '0000950134-09-008795', '0000950134-08-018805', '0000891618-08-000380', '0000950134-08-008205', '0000891618-07-000624', '0000950134-07-016808', '0000950134-07-009935', '0000891618-06-000457', '0000891618-06-000309', '0000891618-06-000189', '0000891618-05-000821', '0001193125-05-159285', '0001193125-05-103060', '0001193125-04-185001', '0001193125-04-128340', '0001193125-04-075690', '0001193125-03-072669', '0001104659-03-016885', '0001104659-03-008285', '0000050863-02-000121', '0000050863-02-000079', '0000050863-02-000046', '0000050863-01-500150', '0000050863-01-500101', '0000050863-01-500065']",21,63,84,Information Technology,Semiconductors,12/31/1976,1968.0
QCOM,804328,QUALCOMM INC/DE,Nasdaq,"['0001728949-21-000076', '0001728949-20-000067', '0001728949-19-000072', '0001728949-18-000095', '0001234452-17-000190', '0001234452-16-000552', '0001234452-15-000271', '0001234452-14-000320', '0001234452-12-000371', '0001234452-11-000360', '0000950123-10-100207', '0000950123-09-057827', '0000936392-08-000707', '0000936392-07-000836', '0000936392-06-000996', '0000936392-05-000362', '0000936392-04-000858', '0000936392-03-001502', '0000936392-02-001489', '0000936392-01-500225', '0000912057-00-047095']","['0001728949-21-000066', '0001728949-21-000043', '0001728949-21-000022', '0001728949-20-000057', '0001728949-20-000031', '0001728949-20-000011', '0001728949-19-000055', '0001728949-19-000036', '0001728949-19-000012', '0001728949-18-000075', '0001728949-18-000039', '0001728949-18-000011', '0001234452-17-000154', '0001234452-17-000077', '0001234452-17-000028', '0001234452-16-000483', '0001234452-16-000429', '0001234452-16-000352', '0001234452-15-000208', '0001234452-15-000134', '0001234452-15-000024', '0001234452-14-000238', '0001234452-14-000154', '0001234452-14-000049', '0001234452-13-000292', '0001234452-13-000179', '0001234452-13-000041', '0001234452-12-000268', '0001234452-12-000217', '0001234452-12-000055', '0001234452-11-000292', '0001234452-11-000190', '0000950123-11-005582', '0000950123-10-066837', '0000950123-10-036699', '0000950123-10-005721', '0000950123-09-024369', '0000936392-09-000216', '0000936392-09-000032', '0000936392-08-000473', '0000936392-08-000288', '0000936392-08-000071', '0000936392-07-000602', '0000936392-07-000327', '0000936392-07-000046', '0000936392-06-000709', '0000936392-06-000386', '0000936392-06-000042', '0000950137-05-008889', '0000936392-05-000099', '0000950137-05-000531', '0000936392-04-000768', '0000936392-04-000407', '0000936392-04-000041', '0000936392-03-000969', '0000936392-03-000531', '0000936392-03-000045', '0000936392-02-000876', '0000936392-02-000464', '0000936392-02-000054', '0001095811-01-503433', '0000936392-01-500076', '0000912057-01-002967', '0000912057-00-032986']",21,64,85,Information Technology,Semiconductors,,1985.0
NVDA,1045810,NVIDIA CORP,Nasdaq,"['0001045810-21-000010', '0001045810-20-000010', '0001045810-19-000023', '0001045810-18-000010', '0001045810-17-000027', '0001045810-16-000205', '0001045810-15-000036', '0001045810-14-000030', '0001045810-13-000008', '0001045810-12-000013', '0001045810-11-000015', '0001045810-10-000006', '0001045810-09-000013', '0001045810-08-000011', '0001045810-07-000008', '0001045810-06-000014', '0001045810-05-000008', '0001045810-04-000007', '0001045969-03-001196', '0001012870-02-002262']","['0001045810-21-000131', '0001045810-21-000064', '0001045810-20-000189', '0001045810-20-000147', '0001045810-20-000065', '0001045810-19-000170', '0001045810-19-000144', '0001045810-19-000079', '0001045810-18-000150', '0001045810-18-000114', '0001045810-18-000080', '0001045810-17-000172', '0001045810-17-000123', '0001045810-17-000075', '0001045810-16-000353', '0001045810-16-000300', '0001045810-16-000275', '0001045810-15-000173', '0001045810-15-000143', '0001045810-15-000097', '0001045810-14-000188', '0001045810-14-000158', '0001045810-14-000085', '0001045810-13-000109', '0001045810-13-000075', '0001045810-13-000054', '0001045810-12-000060', '0001045810-12-000036', '0001045810-12-000027', '0001045810-11-000056', '0001045810-11-000046', '0001045810-11-000031', '0001045810-10-000045', '0001045810-10-000029', '0001045810-10-000018', '0001045810-09-000036', '0001045810-09-000024', '0001045810-09-000017', '0001045810-08-000030', '0001045810-08-000020', '0001045810-08-000016', '0001045810-07-000053', '0001045810-07-000045', '0001045810-07-000019', '0001045810-06-000035', '0001193125-06-243229', '0001045810-06-000023', '0001045810-05-000028', '0001045810-05-000024', '0001045810-05-000020', '0001045810-04-000034', '0001045810-04-000023', '0001045810-04-000015', '0001045810-03-000010', '0001193125-03-047111', '0001012870-03-002787', '0001012870-02-004623', '0001012870-02-003728', '0001012870-02-002660', '0001012870-01-502932', '0001012870-01-501827', '0001012870-01-501180']",20,62,82,Information Technology,Semiconductors,11/30/2001,1993.0
